d,p,op,bw MB/s,overhead
1,1,encode,17666.30,0.5
1,2,encode,17544.36,0.6666666666666666
1,3,encode,17256.19,0.75
1,4,encode,17135.48,0.8
1,5,encode,16568.24,0.8333333333333334
1,6,encode,16544.47,0.8571428571428571
1,7,encode,15567.44,0.875
1,8,encode,15589.76,0.8888888888888888
1,9,encode,15331.99,0.9
1,10,encode,15641.07,0.9090909090909091
2,1,encode,18033.86,0.3333333333333333
2,2,encode,17847.31,0.5
2,3,encode,17277.72,0.6
2,4,encode,16632.24,0.6666666666666666
2,5,encode,16234.32,0.7142857142857143
2,6,encode,16370.97,0.75
2,7,encode,14377.60,0.7777777777777778
2,8,encode,14220.50,0.8
2,9,encode,14504.65,0.8181818181818182
2,10,encode,14218.59,0.8333333333333334
3,1,encode,17573.14,0.25
3,2,encode,17318.26,0.4
3,3,encode,15503.18,0.5
3,4,encode,15095.49,0.5714285714285714
3,5,encode,14837.20,0.625
3,6,encode,14256.03,0.6666666666666666
3,7,encode,12247.32,0.7
3,8,encode,12415.61,0.7272727272727273
3,9,encode,12018.88,0.75
3,10,encode,11956.01,0.7692307692307693
4,1,encode,18007.59,0.2
4,2,encode,16434.14,0.3333333333333333
4,3,encode,14474.46,0.42857142857142855
4,4,encode,14015.46,0.5
4,5,encode,13297.35,0.5555555555555556
4,6,encode,12575.89,0.6
4,7,encode,10675.08,0.6363636363636364
4,8,encode,10604.46,0.6666666666666666
4,9,encode,10439.70,0.6923076923076923
4,10,encode,10460.43,0.7142857142857143
5,1,encode,17781.01,0.16666666666666666
5,2,encode,16104.79,0.2857142857142857
5,3,encode,13651.51,0.375
5,4,encode,12875.81,0.4444444444444444
5,5,encode,11913.22,0.5
5,6,encode,11250.81,0.5454545454545454
5,7,encode,9580.23,0.5833333333333334
5,8,encode,9396.49,0.6153846153846154
5,9,encode,9186.90,0.6428571428571429
5,10,encode,9092.54,0.6666666666666666
6,1,encode,17712.83,0.14285714285714285
6,2,encode,15229.85,0.25
6,3,encode,12846.38,0.3333333333333333
6,4,encode,11991.92,0.4
6,5,encode,11019.73,0.45454545454545453
6,6,encode,10268.27,0.5
6,7,encode,8740.40,0.5384615384615384
6,8,encode,8630.86,0.5714285714285714
6,9,encode,8214.08,0.6
6,10,encode,8135.20,0.625
7,1,encode,16516.03,0.125
7,2,encode,15319.21,0.2222222222222222
7,3,encode,12328.50,0.3
7,4,encode,11324.49,0.36363636363636365
7,5,encode,10365.95,0.4166666666666667
7,6,encode,9509.21,0.46153846153846156
7,7,encode,8065.41,0.5
7,8,encode,7911.62,0.5333333333333333
7,9,encode,7501.48,0.5625
7,10,encode,7466.51,0.5882352941176471
8,1,encode,17313.84,0.1111111111111111
8,2,encode,15044.71,0.2
8,3,encode,11528.97,0.2727272727272727
8,4,encode,10949.74,0.3333333333333333
8,5,encode,9900.98,0.38461538461538464
8,6,encode,8949.05,0.42857142857142855
8,7,encode,7486.24,0.4666666666666667
8,8,encode,7405.85,0.5
8,9,encode,6937.68,0.5294117647058824
8,10,encode,6588.90,0.5555555555555556
9,1,encode,17124.41,0.1
9,2,encode,14632.48,0.18181818181818182
9,3,encode,11459.02,0.25
9,4,encode,10459.77,0.3076923076923077
9,5,encode,9355.62,0.35714285714285715
9,6,encode,8560.91,0.4
9,7,encode,7112.79,0.4375
9,8,encode,6877.02,0.47058823529411764
9,9,encode,6280.18,0.5
9,10,encode,6085.52,0.5263157894736842
10,1,encode,17070.56,0.09090909090909091
10,2,encode,14437.36,0.16666666666666666
10,3,encode,10967.74,0.23076923076923078
10,4,encode,9997.83,0.2857142857142857
10,5,encode,8913.21,0.3333333333333333
10,6,encode,8157.99,0.375
10,7,encode,6751.53,0.4117647058823529
10,8,encode,6291.42,0.4444444444444444
10,9,encode,5960.80,0.47368421052631576
10,10,encode,6069.23,0.5
11,1,encode,17586.14,0.08333333333333333
11,2,encode,14087.34,0.15384615384615385
11,3,encode,10714.42,0.21428571428571427
11,4,encode,9727.96,0.26666666666666666
11,5,encode,8701.64,0.3125
11,6,encode,7910.14,0.35294117647058826
11,7,encode,6271.99,0.3888888888888889
11,8,encode,6017.94,0.42105263157894735
11,9,encode,5864.15,0.45
11,10,encode,5765.93,0.47619047619047616
12,1,encode,16982.65,0.07692307692307693
12,2,encode,13664.91,0.14285714285714285
12,3,encode,10509.52,0.2
12,4,encode,9319.00,0.25
12,5,encode,8493.23,0.29411764705882354
12,6,encode,7401.50,0.3333333333333333
12,7,encode,6151.78,0.3684210526315789
12,8,encode,6080.03,0.4
12,9,encode,5641.42,0.42857142857142855
12,10,encode,5511.61,0.45454545454545453
13,1,encode,17207.86,0.07142857142857142
